Gama,Grupo,Artigo (norma / referência / formato),Material,Acabamento,Código,Descrição / medida,Equivalente,Stock
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA050050        ,CHAPA PERFURADA AÇO MACI.2000x1000x0.5 C5 U7                        ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA080100        ,CHAPA PERFURADA AÇO MACI.2000x1000x0.8 C10 U13                      ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA0800507       ,CHAPA PERFURADA AÇO MACI.2000x1000x0.8 C5 U7                        ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA080080        ,CHAPA PERFURADA AÇO MACI.2000x1000x0.8 C8 U10                       ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA1001012       ,CHAPA PERFURADA AÇO MACI.2000x1000x1.0 C10 U12                      ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA100100        ,CHAPA PERFURADA AÇO MACI.2000x1000x1.0 C10 U13                      ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA1001015       ,CHAPA PERFURADA AÇO MACI.2000x1000x1.0 C10 U15                      ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA100050        ,CHAPA PERFURADA AÇO MACI.2000x1000x1.0 C5 U7                        ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA100080        ,CHAPA PERFURADA AÇO MACI.2000x1000x1.0 C8 U10                       ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA1008012       ,CHAPA PERFURADA AÇO MACI.2000x1000x1.0 C8 U12                       ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA1501012       ,CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C10 U12                      ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA1501013       ,CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C10 U13                      ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA1501014       ,CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C10 U14                      ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA1501015       ,CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C10 U15                      ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA15015018      ,CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C15 U18                      ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA15015020      ,CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C15 U20                      ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA150050        ,CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C5 U7                        ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA15005080      ,CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C5 U8                        ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA150080        ,CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C8 U10                       ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA15008012      ,CHAPA PERFURADA AÇO MACI.2000x1000x1.5 C8 U12                       ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA2001013       ,CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C10 U13                      ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA2001014       ,CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C10 U14                      ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA2001015       ,CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C10 U15                      ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA2001520       ,CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C15 U20                      ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA200200        ,CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C20 U23                      ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA200080        ,CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C8 U10                       ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA2008010       ,CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C8 U10                       ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA2008012       ,CHAPA PERFURADA AÇO MACI.2000x1000x2.0 C8 U12                       ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA3001015       ,CHAPA PERFURADA AÇO MACI.2000x1000x3.0 C10 U15                      ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA3001020       ,CHAPA PERFURADA AÇO MACI.2000x1000x3.0 C10 U20                      ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Aço Macio,,F1AA300200        ,CHAPA PERFURADA AÇO MACIO 2000x1000x3 C20 U23                       ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Alumínio,,F6AA1501012       ,CHAPA PERFURADA ALUMINIO  2000x1000x1.5 C10 U12                     ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Alumínio,,F6AA100050        ,"CHAPA PERFURADA ALUMINIO 2000x1000x1.0 C5 U7,5                      ",,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Alumínio,,F6AA150050        ,"CHAPA PERFURADA ALUMINIO 2000x1000x1.5 C5 U7,5                      ",,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Alumínio,,F6AA2001012       ,CHAPA PERFURADA ALUMINIO 2000x1000x2.0 C10 U12                      ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Alumínio,,F6AA2001014       ,CHAPA PERFURADA ALUMINIO 2000x1000x2.0 C10 U14                      ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA050050        ,CHAPA PERFURADA INOX AISI 304 2000x1000x0.5 C5 U7                   ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA050080        ,CHAPA PERFURADA INOX AISI 304 2000x1000x0.5 C8 U10                  ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA080100        ,CHAPA PERFURADA INOX AISI 304 2000x1000x0.8 C10 U13         ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA080050        ,CHAPA PERFURADA INOX AISI 304 2000x1000x0.8 C5 U7              ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA080080        ,CHAPA PERFURADA INOX AISI 304 2000x1000x0.8 C8 U10           ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA1001012       ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.0 C10 U12                      ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA100100        ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.0 C10 U13                      ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA100030        ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.0 C3 U5                            ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA100050        ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.0 C5 U7                        ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA100080        ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.0 C8 U10                       ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA1501012       ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.5 C10 U12                 ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA15010012      ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.5 C10 U12                      ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA150100        ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.5 C10 U13                      ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA15010014      ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.5 C10 U14                      ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA1501015       ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.5 C10 U15                 ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA15010015      ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.5 C10 U15                      ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA150150        ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.5 C15 U18                 ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA1502040       ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.5 C20 U40                      ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA150050        ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.5 C5 U7                   ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA150080        ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.5 C8 U12                  ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA2010014       ,CHAPA PERFURADA INOX AISI 304 2000x1000x2.0 C10 U14                 ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA2010015       ,CHAPA PERFURADA INOX AISI 304 2000x1000x2.0 C10 U15                 ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA2002040       ,CHAPA PERFURADA INOX AISI 304 2000x1000x2.0 C20 U40                 ,,1
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA2005008       ,CHAPA PERFURADA INOX AISI 304 2000x1000x2.0 C5 U8                   ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA2008012       ,CHAPA PERFURADA INOX AISI 304 2000x1000x2.0 C8 U12                  ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA3001012       ,CHAPA PERFURADA INOX AISI 304 2000x1000x3.0 C10 U12                 ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA3001015       ,CHAPA PERFURADA INOX AISI 304 2000x1000x3.0 C10 U15                 ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 304,,F7AA300050        ,CHAPA PERFURADA INOX AISI 304 2000x1000x3.0 C5 U7                   ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA300150        ,CHAPA PERFURADA FINOX AISI 316 2000x1000x3.0 C15 U18                  ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA100100        ,CHAPA PERFURADA INOX AISI 304 2000x1000x1.0 C10 U13                      ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA150050        ,"CHAPA PERFURADA INOX AISI 316 1800x1000x1,5 C5 U12                   ",,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA1501015       ,"CHAPA PERFURADA INOX AISI 316 2000x1000x1,5 C10 U15                  ",,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA15020023      ,"CHAPA PERFURADA INOX AISI 316 2000x1000x1,5 C20 U23                 ",,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA15020040      ,"CHAPA PERFURADA INOX AISI 316 2000x1000x1,5 C20 U40                  ",,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA1001012       ,CHAPA PERFURADA INOX AISI 316 2000x1000x1.0 C10 U12                 ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA100050        ,CHAPA PERFURADA INOX AISI 316 2000x1000x1.0 C5 U7                   ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA100080        ,CHAPA PERFURADA INOX AISI 316 2000x1000x1.0 C8 U10x10                    ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA10008012      ,CHAPA PERFURADA INOX AISI 316 2000x1000x1.0 C8 U12x12                    ,,0
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA1501012       ,CHAPA PERFURADA INOX AISI 316 2000x1000x1.5 C10 U12                 ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA150100        ,CHAPA PERFURADA INOX AISI 316 2000x1000x1.5 C10 U13                 ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA1501014       ,CHAPA PERFURADA INOX AISI 316 2000x1000x1.5 C10 U14                 ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA200100        ,CHAPA PERFURADA INOX AISI 316 2000x1000x2.0 C10 U12                  ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA2008012       ,CHAPA PERFURADA INOX AISI 316 2000x1000x2.0 C8 U12                  ,,2
Chapa Perfurada,Furo Quadrado CU,2000x1000 mm - furos paralelos a 90º,Inox AISI 316,,F8AA300100        ,CHAPA PERFURADA INOX AISI 316 2000x1000x3.0 C10 U13                  ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA050020        ,"CHAPA PERFURADA AÇO GALVA. 2000x1000x0.5 R2 T3,5                    ",,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA050030        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x0.5 R3 T5                      ,,0
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA050040        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x0.5 R4 T6                      ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA050050        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x0.5 R5 T8                      ,,0
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA080025        ,"CHAPA PERFURADA AÇO GALVA. 2000x1000x0.8 R2,5 T4                    ",,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA080030        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x0.8 R3 T5                      ,,0
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA080035        ,"CHAPA PERFURADA AÇO GALVA. 2000x1000x0.8 R3,5 T5                    ",,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA080040        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x0.8 R4 T6                      ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100010        ,"CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R1 T2,2                    ",,1
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100015        ,"CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R1,5 T2.5                  ",,0
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100100        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R10 T14                    ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA10010015      ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R10 T15                    ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100150        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R15 T22                    ,,1
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100020        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R2 T3.5                    ,,1
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100025        ,"CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R2,5 T4                    ",,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100200        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R20 T30                    ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100250        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R25 T32                    ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100030        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R3 T5                      ,,0
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100040        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R4 T6                      ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA10005070      ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R5 T7                      ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100050        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R5 T8                      ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100060        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R6 T9                      ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100070        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R7 T10                     ,,0
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA100080        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.0 R8 T12                     ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA150015        ,"CHAPA PERFURADA AÇO GALVA. 2000x1000x1.5 R1,5 T2,5                  ",,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA150100        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.5 R10 T14                    ,,0
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA15010015      ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.5 R10 T15                    ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA150120        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.5 R12 T16                    ,,0
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA150020        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.5 R2 T3.5                    ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA150030        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.5 R3 T5                      ,,1
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA150040        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.5 R4 T6                      ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA150050        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.5 R5 T8                      ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA150060        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.5 R6 T9                      ,,0
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA150080        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x1.5 R8 T12                     ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA200100        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x2.0 R10 T14                    ,,1
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA20010015      ,CHAPA PERFURADA AÇO GALVA. 2000x1000x2.0 R10 T15                    ,,0
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA200120        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x2.0 R12 T18                    ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA20015020      ,CHAPA PERFURADA AÇO GALVA. 2000x1000x2.0 R15 T20                    ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA200150        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x2.0 R15 T22                    ,,0
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA200200        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x2.0 R20 T26                    ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA200030        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x2.0 R3 T5                      ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA200040        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x2.0 R4 T6                      ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA200050        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x2.0 R5 T8                      ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA200060        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x2.0 R6 T9                      ,,0
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA200080        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x2.0 R8 T12                     ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA300100        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x3.0 R10 T15                    ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA300120        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x3.0 R12 T18                    ,,0
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA300200        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x3.0 R20 T26                    ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA300060        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x3.0 R6 T9                      ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA300080        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x3.0 R8 T12                     ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA400100        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x4.0 R10 T15                    ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,Pré Galvanizado,A2AA800080        ,CHAPA PERFURADA AÇO GALVA. 2000x1000x8.0 R8 T13                     ,,2
Chapa Perfurada,Furo Redondo RT,2000x1000 mm - furo alternado a 60º,Aço Macio,,A1AA20013135      ,CHAPA PERFURADA AÇO MACIO 1300x135x2.0 R14 T30                      ,,1
